Kenya Institute Of Highways & Building Technology - KIHBT Commercial	r.kihbt-commercial-street.n.kenet.or.ke
Kenya Institute Of Highways & Building Technology - KIHBT Enterprise Rd	r.kihbt-enterprise.n.kenet.or.ke
Kenya Institute Of Highways & Building Technology - KIHBT Kibiko	r.kihbt-ngong-kibiko.n.kenet.or.ke
Kenya Institute Of Highways & Building Technology - KIHBT Kisii	r.kihbt-kisii.k.kenet.or.ke
Kenya Institute Of Highways & Building Technology - KIHBT Ngong town	r.kihbt-ngong.n.kenet.or.ke
Kenya Institute of Mass Communication - KIMC Eldoret	r.kimc-eld.e.kenet.or.ke
Kenya Institute of Mass Communication - KIMC Main	r.kimc-sb.n.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Baringo	r.kmfri-baringo.a.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Gazi	r.kmfri-gazi.s.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Kegati	r.kmfri-kegati.k.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Kisumu	r.kmfri-ksm.k.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Mombasa	r.kmfri-msa.s.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Nairobi	r.kmfri-nrb.n.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Naivasha	r.kmfri-naiv.a.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Sagana	r.kmfri-sagana.m.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Sangoro	r.kmfri-sangoro.k.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Shimoni	r.kmfri-shimoni.s.kenet.or.ke
Kenya Marine and Fisheries Research Institute-Turkana	r.kmfri-turkana.e.kenet.or.ke
Kenya Medical Training College Awendo	r.kmtc-awendo.k.kenet.or.ke
Kenya Medical Training College Bomet	r.kmtc-bomet.a.kenet.or.ke
Kenya Medical Training College Bondo	r.kmtc-bondo.k.kenet.or.ke
Kenya Medical Training College Bungoma	r.kmtc-bungoma.e.kenet.or.ke
Kenya Medical Training College Busia	r.kmtc-busia.k.kenet.or.ke
Kenya Medical Training College Chemolingot	r.kmtc-chemolingot.e.kenet.or.ke
Kenya Medical Training College Chuka	r.kmtc-chuka.m.kenet.or.ke
Kenya Medical Training College Chwele	r.kmtc-chwele.e.kenet.or.ke
Kenya Medical Training College Eldoret	r.kmtc-eld.e.kenet.or.ke
Kenya Medical Training College Embu	r.kmtc-embu.m.kenet.or.ke
Kenya Medical Training College Garissa	r.kmtc-garissa.n.kenet.or.ke
Kenya Medical Training College Homabay	r.kmtc-homabay.k.kenet.or.ke
Kenya Medical Training College Imenti	r.kmtc-imenti.m.kenet.or.ke
Kenya Medical Training College Isiolo	r.kmtc-isiolo.m.kenet.or.ke
Kenya Medical Training College Iten	r.kmtc-iten.e.kenet.or.ke
Kenya Medical Training College Kabarnet	r.kmtc-kabarnet.e.kenet.or.ke
Kenya Medical Training College Kangundo	r.kmtc-kangundo.n.kenet.or.ke
Kenya Medical Training College Kapenguria	r.kmtc-kapenguria.e.kenet.or.ke
Kenya Medical Training College Kapkatet	r.kmtc-kapkatet.a.kenet.or.ke
Kenya Medical Training College Kaptumo	r.kmtc-kaptumo.e.kenet.or.ke
Kenya Medical Training College Karen Campus	r.kmtc-karen.n.kenet.or.ke
Kenya Medical Training College Karuri	r.kmtc-karuri.n.kenet.or.ke
Kenya Medical Training College Kilifi	r.kmtc-kilifi.s.kenet.or.ke
Kenya Medical Training College Kisii	r.kmtc-kisii.k.kenet.or.ke
Kenya Medical Training College Kisumu	r.kmtc-ksm.k.kenet.or.ke
Kenya Medical Training College Kitale	r.kmtc-kitale.e.kenet.or.ke
Kenya Medical Training College Kitui	r.kmtc-kitui.n.kenet.or.ke
Kenya Medical Training College Kombewa	r.kmtc-kombewa.k.kenet.or.ke
Kenya Medical Training College Kuria	r.kmtc-kuria.k.kenet.or.ke
Kenya Medical Training College Kwale	r.kmtc-kwale.s.kenet.or.ke
Kenya Medical Training College Lake Victoria	r.kmtc-lvictoria.k.kenet.or.ke
Kenya Medical Training College Lamu	r.kmtc-lamu.s.kenet.or.ke
Kenya Medical Training College Lodwar	r.kmtc-lodwar.e.kenet.or.ke
Kenya Medical Training College Lugari	r.kmtc-lugari.e.kenet.or.ke
Kenya Medical Training College Machakos	r.kmtc-macha.n.kenet.or.ke
Kenya Medical Training College Makindu	r.kmtc-makindu.n.kenet.or.ke
Kenya Medical Training College Makueni	r.kmtc-makueni.n.kenet.or.ke
Kenya Medical Training College Mandera	r.kmtc-mandera.n.kenet.or.ke
Kenya Medical Training College Manza	r.kmtc-manza.n.kenet.or.ke
Kenya Medical Training College Masita	r.kmtc-masita.k.kenet.or.ke
Kenya Medical Training College Mathare	r.kmtc-mathare.n.kenet.or.ke
Kenya Medical Training College Maua	r.kmtc-maua.m.kenet.or.ke
