ACC-TVET , TVET CDACC
KMTC-LKVIC , Kenya Medical Training College Lake Victoria
KMTC-LODWA , Kenya Medical Training College Lodwar
KMTC-MACH , KMTC MACHAKOS
KMTC-MAKUN , Kenya Medical Training College Makueni
KMTC-MANDE , Kenya Medical Training College-Mandera
KMTC-MANZA , KMTC Manza
KMTC-MATHA , Kenya Medical Training College Mathare
KMTC-MAUA , Kenya Medical Training College Maua
KMTC-MBOON , Kenya Medical Training College Mbooni
KMTC-MBUVO , KMTC Mbuvo
KMTC-MCHKS , Kenya Medical Training College Machakos
KMTC-MERU , Kenya Medical Training College Meru
KMTC-MIGOR , Kenya Medical Training College Migori
KMTC-MKNDU , Kenya Medical Training College Makindu
KMTC-MOLO , Kenya Medical Training College -Molo
KMTC-MRNGA , Kenya Medical Training College Murangá
KMTC-MSA , Kenya Medical Training College Mombasa
KMTC-MSBWN , Kenya Medical Training College Msambweni
KMTC-MST , KMTC MASITA
KMTC-MUMIA , Kenya Medical Training College-Mumias
KMTC-MWING , KMTC-MWINGI
KMTC-MWP , Kenya Medical Training College - Mtwapa
KMTC-NAI , KMTC NAIROBI
KMTC-NAKS , Kenya Medical Training College - Nakuru
KMTC-NAROK , KMTC NAROK
KMTC-NDW , KMTC Ndhiwa
KMTC-NKR , KMTC NAKURU
KMTC-NVKLO , Kenya Medical Training College - Navakholo
KMTC-NYAHU , KMTC Nyahuru<>NOFBI Nyahururu
KMTC-NYAMR , KMTC Nyamira
KMTC-NYAND , KMTC Nyandarua
KMTC-NYERI , Kenya Medical Training College Nyeri
KMTC-OLOIT , Kenya Medical Training College-Oloitoktok
KMTC-OTHAY , KMTC OTHAYA
KMTC-PRETZ , Kenya Medical Training College Port Reitz
KMTC-RACHU , Kenya Medical Training College Rachuonyo
KMTC-RERA , Kenya Medical Training College-Rera
KMTC-SIAYA , Kenya medical Training College Siaya
KMTC-SIGOW , KMTC Sigowet
KMTC-TANAR , Kenya Medical Training College Tana River
KMTC-TAVET , Kenya Medical Training College Taveta
KMTC-TESO , Kenya Medical Training College Teso
KMTC-THIKA , Kenya Medical Training College Thika
KMTC-TNSMR , Kenya Medical Training College Transmara
KMTC-UGENY , Kenya Medical Training College-Ugenya
KMTC-UGJA , Kenya Medical Training College - Ugunja
KMTC-VIHIG , Kenya Medical Training College Vihiga
KMTC-VOI , Kenya Medical Training College Voi
KMTC-WAJIR , Kenya Medical Training College Wajir
KMTC-WEBUY , Kenya Medical Training College Webuye
KNEC-CALED , Kenya National Examinations Council - Caledonia/Mi
KNEC-HQ , Kenya National Examinations Council - Headquarters
KNEC-S.C , Kenya National Examinations Council - South C
KNLS-ELD , KNLS ELDORET
KNP-KISII , Kisii National Polytechnic
KNP-KITALE , Kitale National Polytechnic 
KNQA , Kenya National Qualifications Authority 
KOITALEL-U , Koitalel Samoei
KP-KISUMU , Kisumu Polytechnic
KPLC KAM , KPLC KAMBURU
KPLC KER , KPLC Kericho Substation
KPLC LANET , KPLC Lanet Substation
KPLC-NVSHA , KPLC NAIVASHA
KPLC-RK , KPLC Ruaraka
KRN , Kirinyaga
KRN TTID , Karen Technical Training Institute for the Deaf
KRNU-M , Kirinyaga University, Main Campus
KRNU-MAIN , Kirinyaga University, Main Campus
KS>CHIROMO , Kenya Science<>Jaffery Nairobi<>Qwetu HQ<>Chiromo
KSA , Kenya Space Agency
KSG-EMBU , Kenya School of Government - Embu
KSG-HQKIA , Kenya School of Government - Headquarters (KIA)
KSG-MATUGA , Kenya School of Government - Matuga
KSG-MSA , Kenya School of Government - Mombasa
KSL , Kenya School of Law
KSL-KAREN , Kenya School of Law - Karen
KSL-TOWN , Kenya School of Law - Town
KSM , Kisii School of Medicine
KSM PRV-HQ , KISUMU PROVINCIAL HEADQURTERS
KSSM , Kenya School of Security Managemet 
KSTVET-GGR , Kenya School of TVET, Gigiri
KTTC , Kenya Technical Teachers College
KTTC-ELEAR , Kenya Technical Teachers College - Elearning
KTTC-KAGUM , Kagumo Teachers Training College
KTTC-KAIMO , Kaimosi Teachers Training College
KTTC-KENYE , Kenyenya Teachers Training College 
KTTI-KARUM , Karumo Technical Training Institute
KTTI-KATIN , Katine Technical Training Institute
KTTI-KEROK ,  Keroka Technical Training Institution
KTTI-KIIRU , Kiirua Technical Training Institute
KU MN-REFH , KU Main campus<>KU referral Hospital
KU PRIMARY , KU Primary school
KUCCPS , Kenya Universities and Colleges Central Placement 
KU-CITY , Kenyatta University - City
KU-KI , KU - Kitui Campus
KU-KITUI , Kenyatta University - Kitui
KU-MN.KUTV , Kenyatta University - Main (Includes KUTV)
KU-MNGINA , Kenyatta University - Mama Ngina UC
KU-MSA , Kenyatta University - Mombasa
KU-NAKURU , Kenyatta University - Nakuru
KU-NCOAST , Kenyatta University - North Coast
KUONUPS-RM , KENET UON UPS Room
KU-PRKLAND , Kenyatta University - Parklands
KU-RU , KU Refferal University
KUTRRH , Kenyatta University, Teaching Referral & Research 
KUTRRH-GAT , Kenyatta University, Teaching Referral & Research 
KUTUS KUTU , Kutus Sub-Station
KWI-CHIAKA , Kenya Water Institute - Chiakariga
KWI-HQ , Kenya Water Institute - Headquarters
KWI-IND , Kenya Water Institute - industrial
KWI-KISUMU , Kenya Water Institute - Kisumu
KWI-KITUI , Kenya Water Institute - Kitui
KWS-HQ , Kenya Wildlife Service - Headquarters
KWS-NAKURU , Kenya Wildlife Service - Nakuru
KWSTI-NAIV , Kenya Wildlife Service Training Institute - Naivas
KWTVC-KAJI , Kajiado West TVC
LAIKIPIA-U , Laikipia University
LANET-SEC. , Lanet Secondary School
LAWSON-SCH , Lawson School
LDTTC , Lugari Diploma Teacher Training College
LDTTC-LUGA , Lugari Diploma Teacher Training College
LEAD NOC , LEAD NOC Office
LILIAN , Lilian Kamau
LKPIA-NYAH , Laikipia University <>Nyahururu TH
LRIH-KIPKA , LRIH KIPKAREN
LRIH-MAIN , Living Room International  Hospital - Main
LTVC-LMR , Limuru Technical and Vocational College
LUKENYA-UN , Lukenya University
MAASAIM-UN , Maasai Mara University
MACH -TTC , Machakos TTC 
MACHAKOS , MACHAKOS
MACHAKOS B , Machakos Boys/Girls
MACHAKOS-M , Machakos Manza
MACHAKOSTH , Machakos TH
MACHAKOS-U , MACHAKOS UNIVERSITY COLLEGE
MARSABIT-G , Marsabit Girls
MASENO TWN , Maseno Town Campus - Varsity
MASENO-HOM , Maseno Homabay Campus
MASENO-TWN , Maseno TC <>Kisumu TH
MASENOU-KS , Maseno University Kisumu town
MASINGATVC , MASINGA TVC
MATERH-MN , Mater Misericordiae Hospital main
MATERH-SM , Mater Misericordiae Hospital-Shujaa Mall
MATUU-TEL , Matuu Telephone House
MAUREEN , Maureen Mii
MBA-POLY , Mombasa Poly <> Mombasa TH
MBS-TEL , Mombasa Telephone House
MEC , Moi Education Center
MERU TRH , Meru TRH
MERU UNI-M , Meru University -Marimba Centre
MERU-POLY , Meru Polytechnic
MERU-TEL , Meru Telephone House
MERU-TELP , Meru Telephone House
MERUUNI-MT , MERU UNIVERSITY OF SCIENCE AND TECH - MERU TOWN
MERU-UNIV , Meru University of Science and Technology - Main
MERU-UNK , Meru University <>KeMU
MERUUN-MER , Meru University of Science and Technology - Meru T
MILIM-RECE , KENET Milimani Reception
MKU-ELD , Mount Kenya University - Eldoret
MKU-KITALE , Mount Kenya University - Kitale
MKU-MERU , Mount Kenya University - Meru
MKU-MN , Mount Kenya University - Main
MKU-MSA , Mount Kenya University - Mombasa
MKU-NAKURU , Mount Kenya University - Nakuru
MKU-NRB , Mount Kenya University - Nairobi
MKU-PKLAND , Mount Kenya University - Parklands
MLM-MOTHER , KENET Milimani Mother's Room
MMUK-UNV , Multi Media University
MMUST , Masinde Muliro University of Science and Technolog
MMUST TH K , MMUST<>Kakamega TH
MNP-MERU , Meru National Polytechnic 
MOI UN-AMP , Moi_CHS<> AMPATH
MOI UN-CHS , Moi University - CHS (Moi POP)
MOI-LAWSCH , Moi University - School of Law
MOIUN-AIR , Moi University - Airstrip
MOI-UNIV , Moi University - Main
MOIUN-MSA , Moi University - Mombasa
MOIUN-NRB , Moi University - Nairobi
MOIUN-PENS , Moi University - Pension
MOIUN-RVTX , Moi University - Rivatex (SOA) 
MRC-MPALA , Mpala Research Centre
MRGA-SCH , Moringa School
MSNO-ODKAN , Maseno University - Odero Akango
MSNO-SIRIB , Maseno University - Siriba
MTRH , AMPATH<>MTRH
MTTI-BLIND , Machakos Technical Training Institute for Blind
MTTI-MASAI , Masai Technical Training Institute
MTTI-MATIL , Matili Technical Training Institute
MTTI-MICHU , Michuki Technical Training Institute 
MTTI-MITUN , Mitunguu Technical Training Institute 
MTTI-MURAG , Muraga TTI
MTTI-MURAN , Murang'a Technical Training Institute 
MTTI-TWN , Matili Technical Training Institute - Town Campus
MURANG-TEL , Muranga Telephone House
MUST-TOWN , MUST Town
MUT-MAIN , Murang'a University of Technology (MUT) - Main
MUT-MARIRA , Murang'a University of Technology - marira
NACOSTI , NACOSTI
NAIROBITTI , Nairobi TTI (new campus)
NAKURU-TH , NAKURU TH<>Egerton Njoro
NANYUKI TH , Nanyuki TH
NANYUK-TEL , Nanyuki Telephone House
NAROK-UNIV , Narok University <>Narok TH
NAZARENE , African Nazarene University
NCSTI , National Commission for Science, Tech & Innovation
NDC-KAREN , National Defence College - Karen
NDCL , NDC Lanet
NDU-LANET , National Defence University - Lanet
NDU-MAIN , National Defense University Main
NELISA , Nelisa Mwongera
NGIYA-HSCH , Ngiya High School
NICTIIC , National ICT Innovation & Integration Centre
NIRU , National Intelligence and Research University
NIST-NYAND , Nyandarua Institute of Science and Technology 
NKABUN-TTI , Nkabune Technical Training Institute
NKUBU-SFC , NKUBU Safaricom Base Station
NMK-KAREN , National Museums of Kenya - Karen
NMK-MAIN , National Museums of Kenya - HQ
NRF , National Research Fund
NTTC-NAROK , Narok Teachers Training College 
NTTI , Nairobi Technical Training Institute
NTTI-NRB , Nairobi Technical Training Institute
NTVC-NGONG , Ngong Technical and Vocational College
NTVC--NUU , Nuu Technical and Vocational College 
NYAHUR-TEL , Nyahururu Telephone House
NYAND-POL , Nyandarua Polytechnic
NYERI POLY , Nyeri Polytechnic
NYERI SPAN , NYERI SPAN
NYERI-TEL , Nyeri Telephone House
OMC-N , Outspan Medical College(Nyeri)
OTVC-OMUGA , Omuga Technical and Vocational College 
OUTSPAN-HO , Outspan Hospital
OUTSPAN-ME , Outspan Medical College
OUTSPAN-NY , Outspan Hospital - Nyeri
PACU-MAIN , Pan Africa Christian University - Main
PACU-VR , Pan Africa Christian University - Valley Road
PAUISTI , Pan African UNV Insti for Basic Scie Tech &Innovat
PCEA-CHOS , PCEA Chogoria Hospital
PETER MUIA , Peter Muia
PIU-MAIN , Pioneer International Unviersity - Main
PIU-MARAGU , Pioneer International Unviersity - Maragua
PIU-MURANG , Pioneer International Unviersity - Murang'a
PIU-THIKA , Pioneer International Unviersity - Thika
PROF IDOWU , Prof.Abraham Idowu
PROF MBITH , Prof MBITHI
PUEA , Presbyterian University of East Africa
PUEA-MAIN , The Presbyterian University of East Africa
PWANI KEMR , Pwani University <> Kilifi TH
PWANI-UNIV , Pwani University - Main
QOA , QOA
QWETU NLD , Qwetu Northlands
QWETU OUTE , Qwetu Outering
QWETU-CUEA , QWETU CUEA
QWETU-HOST , Qwetu Hostels
QWETU-HURL , QWETU HURLINGAM
QWETU-JOGO , QUETU Jogoo
QWETU-JUJA , QWETU JUJA
QWETU-RUAR , QWETU Ruaraka
RAFIU-MN , RAF International University - Main
RAFIU-SC , RAF International University - South C
RAMOGI , Ramogi Institute
RCMRD , RCMRD
